hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2161,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-745.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2162,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-750.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2163,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-755.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2164,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-740.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2165,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-725.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2166,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-740.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2167,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-745.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2168,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-750.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2169,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-755.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
2170,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-760.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
2171,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-755.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2172,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-760.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2173,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-775.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2174,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-760.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2175,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-755.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2176,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-740.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2177,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-755.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2178,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-750.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2179,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-745.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2180,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-760.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2181,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-745.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2182,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-760.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2183,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-775.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2184,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-790.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2185,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-805.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2186,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-800.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2187,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-795.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2188,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-790.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2189,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-785.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2190,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-800.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2191,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-795.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2192,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-780.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2193,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-795.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2194,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-780.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2195,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-795.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2196,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-810.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2197,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-795.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2198,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-810.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2199,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-805.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2200,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-800.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
