hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2470,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2680.0,20.0,p1,fold,False,2,135.0,145.0,rock
2471,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2675.0,15.0,p1,fold,False,2,140.0,145.0,rock
2472,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2690.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2473,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2685.0,15.0,p1,fold,False,2,140.0,145.0,rock
2474,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2700.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2475,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2705.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2476,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2710.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2477,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2705.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2478,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2700.0,15.0,p1,fold,False,2,140.0,145.0,rock
2479,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2710.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2480,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2705.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2481,k,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2700.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2482,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2710.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2483,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2705.0,20.0,p1,fold,False,2,135.0,145.0,rock
2484,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2700.0,20.0,p1,fold,False,2,135.0,145.0,rock
2485,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2705.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2486,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2710.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2487,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2715.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2488,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2730.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2489,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2745.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2490,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2760.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2491,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2775.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2492,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2780.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2493,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2790.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2494,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2795.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2495,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2810.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2496,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2825.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2497,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2820.0,15.0,p1,fold,False,2,140.0,145.0,rock
2498,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2835.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2499,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2850.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2500,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2845.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2501,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-2840.0,10.0,p1,showdown,False,2,145.0,145.0,rock
2502,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2850.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2503,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2845.0,15.0,p1,fold,False,2,140.0,145.0,rock
2504,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2850.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2505,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2845.0,15.0,p1,fold,False,2,140.0,145.0,rock
2506,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2850.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2507,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2865.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2508,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2875.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2509,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2880.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2510,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2875.0,15.0,p1,fold,False,2,140.0,145.0,rock
2511,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2890.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2512,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2895.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2513,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2890.0,15.0,p1,fold,False,2,140.0,145.0,rock
2514,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2905.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2515,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2900.0,15.0,p1,fold,False,2,140.0,145.0,rock
2516,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2895.0,15.0,p1,fold,False,2,140.0,145.0,rock
2517,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2890.0,15.0,p1,fold,False,2,140.0,145.0,rock
2518,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2900.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2519,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2895.0,15.0,p1,fold,False,2,140.0,145.0,rock
