hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
75,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,280.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
76,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,275.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
77,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,270.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
78,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,265.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
79,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,260.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
80,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,255.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
81,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,270.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
82,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,285.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
83,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,290.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
84,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
85,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,280.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
86,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,295.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
87,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
88,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,295.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
